created_at,source,quote
2025-11-15T17:14:25.979507,https://api.chucknorris.io/jokes/random,Chuck Norris can upload photo's of himself on you tube.
2025-11-15T17:16:15.464699,https://api.chucknorris.io/jokes/random,"""Like a good neighbor..."" Chuck Norris is there... with a roundhouse kick to the face."
2025-11-15T17:16:56.152117,https://api.chucknorris.io/jokes/random,"Chuck Norris once spent the night at his grandmother's house and for a goodnight kiss, he slipped her the tounge."
2025-11-15T17:16:57.189771,https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order."
2025-11-15T17:16:57.189796,https://api.chucknorris.io/jokes/search?query=all,The Chuck Norris facts game is played out... And we should all stop contributing to this stupid shit! Unless your a dickless gamer that dwells on this Chuck Norris nonsense
2025-11-15T17:16:57.189806,https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris can make love to 500 women a day, while destroying all of the cock block ninjas that get in his way."
2025-11-15T17:16:57.189812,https://api.chucknorris.io/jokes/search?query=all,"Horses have long faces because they keep challenging Chuck Norris to ""whos got the biggest dick"" contests."
2025-11-15T17:16:57.189819,https://api.chucknorris.io/jokes/search?query=all,"Every-so-often Chuck Norris will cut a hole into a cement block and proceed to fuck it because he really enjoys ""rough sex""."
2025-11-15T17:16:57.189826,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris has to asexually reproduce due to the fact no woman would survive in bed with him.
2025-11-15T17:16:57.189832,https://api.chucknorris.io/jokes/search?query=all,"Other than having experienced an actual sexual encounter with Chuck Norris, the only thing that can possibly match & satisfy women is a mail order device aptly called an Anal Intruder which exhibits a Roto Rooter twirling action."
2025-11-15T17:16:57.189841,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris answers the question of his metrosexuality by simply reaching his hand down the front of your pants and popping your balls like grapes.
2025-11-15T17:16:57.189848,https://api.chucknorris.io/jokes/search?query=all,"Once, after chugging a gallon of Captain Morgan Rum, Chuck Norris french kissed a transexual frog. Nine month later, Chaz Bono was born."
2025-11-15T17:16:57.189855,https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris is all for same-sex marriage, as long as both chicks are hot."
2025-11-15T17:16:57.189860,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris shaves his balls with a chainsaw
2025-11-15T17:16:57.189865,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris once gave his grandma a ball of steal wool and she knitted him a bmx..
2025-11-15T17:16:57.189871,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris doesnt call the wrong number you answer the wrong phone
2025-11-15T17:16:57.189876,https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris doesnt take showers to be clean, he lays in boiling water until all germs are killed."
2025-11-15T17:16:57.189882,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris' drumset is all cowbell.
2025-11-15T17:16:57.189887,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is actually an albino silverback gorrilla
2025-11-15T17:16:57.189893,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris blows up ballons with his nose
2025-11-15T17:16:57.189898,https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris stopped at a stop sign, it turned green. Someone once asked Chuck Norris for advice, he's know dead. Chuck Norris saw a man tell his gf ""you take my breathe away"" he kicked him in the chest and said ""wrong"" Even Chuck Norris shadows is scared of him. Someone thought prank calling Chuck Norris from across the world would keep him save, he kicked him through the phone. When Chuck Norris dies he doesn't go to heaven or hell, he goes to Olympus"
2025-11-15T17:16:57.189912,https://api.chucknorris.io/jokes/search?query=all,"If Chuck Norris was the host of Chopped from food network, the one that's been chopped will be literally chopped. Luck is what you need. XD"
2025-11-15T17:16:57.189918,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris loves all that shit Andrew Zimmern eats on bizzare foods.
2025-11-15T17:16:57.189923,https://api.chucknorris.io/jokes/search?query=all,"Many rednecks and rual farmers enjoy Mountain Oysters as a special delicacy within their traditional menus. Chuck Norris, however, prefers to personally harvest and diet upon Mountain Gorilla Oysters."
2025-11-15T17:16:57.189932,https://api.chucknorris.io/jokes/search?query=all,'Hakuna Matata' is actually Swahili for 'all hail Chuck Norris'.
2025-11-15T17:16:57.189937,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris' gaydar is so finely tuned he can tell if you have EVER stared at another man's ass and will brutally kill you accordingly.
2025-11-15T17:16:57.189944,https://api.chucknorris.io/jokes/search?query=all,Most people have 23 pairs of chromosomes. Chuck Norris has 72... and they're all poisonous.
2025-11-15T17:16:57.189949,https://api.chucknorris.io/jokes/search?query=all,"When Chuck Norris kills you, the government fully covers all funeral expenses, as ordered by the UN. It is the only truly good thing they have ever done."
2025-11-15T17:16:57.189956,https://api.chucknorris.io/jokes/search?query=all,"# Chuck Norris's show is called Walker: Texas Ranger, because Chuck Norris doesn't run."
2025-11-15T17:16:57.189962,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris does not play the lottery. It doesn't have nearly enough balls.
2025-11-15T17:16:57.189967,https://api.chucknorris.io/jokes/search?query=all,"The term ""Cleveland Steamer"" got its name from Chuck Norris, when he took a dump while visiting the Rock and Roll Hall of fame and buried northern Ohio under a glacier of fecal matter."
2025-11-15T17:16:57.189975,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is not Politically Correct. He is just Correct. Always.
2025-11-15T17:16:57.189981,https://api.chucknorris.io/jokes/search?query=all,"Pick a number between 1 and 10. No matter what it is, you are wrong, and Chuck Norris is now on his way to brutally murder you."
2025-11-15T17:16:57.189987,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris never liked the Phillippines. Especially Tacloban.
2025-11-15T17:16:57.189992,https://api.chucknorris.io/jokes/search?query=all,Peter Piper picked a peck of pickled peppers. Chuck Norris shot him and screwed his mother against a wall for three hours.
2025-11-15T17:16:57.189998,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris roundhouse kicks don't really kill people. They wipe out their entire existence from the space-time continuum.
2025-11-15T17:16:57.190005,https://api.chucknorris.io/jokes/search?query=all,Those aren't credits that roll after Walker Texas Ranger. It is actually a list of fatalities that occurred during the making of the episode.
2025-11-15T17:16:57.190011,https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris is a very generous man -- every day, he allows billions of people to continue to live."
2025-11-15T17:16:57.190017,https://api.chucknorris.io/jokes/search?query=all,TNT was originally developed by Chuck Norris to cure indigestion.
2025-11-15T17:16:57.190025,https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris can hit you so hard that he can actually alter your DNA. Decades from now your descendants will occasionally clutch their heads and yell ""What The Hell was That?""."
2025-11-15T17:16:57.190032,https://api.chucknorris.io/jokes/search?query=all,What was going through the minds of all of Chuck Norris' victims before they died? His shoe.
2025-11-15T17:16:57.190037,https://api.chucknorris.io/jokes/search?query=all,You don't really see a light at the end of the tunnel you see Chuck Norris roundhouse kick your face.
2025-11-15T17:16:57.190043,https://api.chucknorris.io/jokes/search?query=all,"According to Einstein's theory of relativity, Chuck Norris can actually roundhouse kick you yesterday."
2025-11-15T17:16:57.190049,https://api.chucknorris.io/jokes/search?query=all,"In the movie ""The Matrix"", Chuck Norris is the Matrix. If you pay close attention in the green ""falling code"" scenes, you can make out the faint texture of his beard."
2025-11-15T17:16:57.190057,https://api.chucknorris.io/jokes/search?query=all,"""Let the Bodies Hit the Floor"" was originally written as Chuck Norris' theme song."
2025-11-15T17:16:57.190075,https://api.chucknorris.io/jokes/search?query=all,"Paper beats rock, rock beats scissors, and scissors beats paper, but Chuck Norris beats all 3 at the same time."
2025-11-15T17:16:57.190081,https://api.chucknorris.io/jokes/search?query=all,"Along with his black belt, Chuck Norris often chooses to wear brown shoes. No one has DARED call him on it. Ever."
2025-11-15T17:16:57.190088,https://api.chucknorris.io/jokes/search?query=all,Someone once videotaped Chuck Norris getting pissed off. It was called Walker: Texas Chain Saw Masacre.
2025-11-15T17:16:57.190093,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is the only man to ever defeat a brick wall in a game of tennis.
2025-11-15T17:16:57.190099,https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is currently suing myspace for taking the name of what he calls everything around you.
