source,quote
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order."
https://api.chucknorris.io/jokes/search?query=all,The Chuck Norris facts game is played out... And we should all stop contributing to this stupid shit! Unless your a dickless gamer that dwells on this Chuck Norris nonsense
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris can make love to 500 women a day, while destroying all of the cock block ninjas that get in his way."
https://api.chucknorris.io/jokes/search?query=all,"Horses have long faces because they keep challenging Chuck Norris to ""whos got the biggest dick"" contests."
https://api.chucknorris.io/jokes/search?query=all,"Every-so-often Chuck Norris will cut a hole into a cement block and proceed to fuck it because he really enjoys ""rough sex""."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris has to asexually reproduce due to the fact no woman would survive in bed with him.
https://api.chucknorris.io/jokes/search?query=all,"Other than having experienced an actual sexual encounter with Chuck Norris, the only thing that can possibly match & satisfy women is a mail order device aptly called an Anal Intruder which exhibits a Roto Rooter twirling action."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris answers the question of his metrosexuality by simply reaching his hand down the front of your pants and popping your balls like grapes.
https://api.chucknorris.io/jokes/search?query=all,"Once, after chugging a gallon of Captain Morgan Rum, Chuck Norris french kissed a transexual frog. Nine month later, Chaz Bono was born."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris is all for same-sex marriage, as long as both chicks are hot."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris shaves his balls with a chainsaw
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris once gave his grandma a ball of steal wool and she knitted him a bmx..
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris doesnt call the wrong number you answer the wrong phone
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris doesnt take showers to be clean, he lays in boiling water until all germs are killed."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris' drumset is all cowbell.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is actually an albino silverback gorrilla
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris blows up ballons with his nose
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris stopped at a stop sign, it turned green. Someone once asked Chuck Norris for advice, he's know dead. Chuck Norris saw a man tell his gf ""you take my breathe away"" he kicked him in the chest and said ""wrong"" Even Chuck Norris shadows is scared of him. Someone thought prank calling Chuck Norris from across the world would keep him save, he kicked him through the phone. When Chuck Norris dies he doesn't go to heaven or hell, he goes to Olympus"
https://api.chucknorris.io/jokes/search?query=all,"If Chuck Norris was the host of Chopped from food network, the one that's been chopped will be literally chopped. Luck is what you need. XD"
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris loves all that shit Andrew Zimmern eats on bizzare foods.
https://api.chucknorris.io/jokes/search?query=all,"Many rednecks and rual farmers enjoy Mountain Oysters as a special delicacy within their traditional menus. Chuck Norris, however, prefers to personally harvest and diet upon Mountain Gorilla Oysters."
https://api.chucknorris.io/jokes/search?query=all,'Hakuna Matata' is actually Swahili for 'all hail Chuck Norris'.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris' gaydar is so finely tuned he can tell if you have EVER stared at another man's ass and will brutally kill you accordingly.
https://api.chucknorris.io/jokes/search?query=all,Most people have 23 pairs of chromosomes. Chuck Norris has 72... and they're all poisonous.
https://api.chucknorris.io/jokes/search?query=all,"When Chuck Norris kills you, the government fully covers all funeral expenses, as ordered by the UN. It is the only truly good thing they have ever done."
https://api.chucknorris.io/jokes/search?query=all,"# Chuck Norris's show is called Walker: Texas Ranger, because Chuck Norris doesn't run."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris does not play the lottery. It doesn't have nearly enough balls.
https://api.chucknorris.io/jokes/search?query=all,"The term ""Cleveland Steamer"" got its name from Chuck Norris, when he took a dump while visiting the Rock and Roll Hall of fame and buried northern Ohio under a glacier of fecal matter."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is not Politically Correct. He is just Correct. Always.
https://api.chucknorris.io/jokes/search?query=all,"Pick a number between 1 and 10. No matter what it is, you are wrong, and Chuck Norris is now on his way to brutally murder you."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris never liked the Phillippines. Especially Tacloban.
https://api.chucknorris.io/jokes/search?query=all,Peter Piper picked a peck of pickled peppers. Chuck Norris shot him and screwed his mother against a wall for three hours.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris roundhouse kicks don't really kill people. They wipe out their entire existence from the space-time continuum.
https://api.chucknorris.io/jokes/search?query=all,Those aren't credits that roll after Walker Texas Ranger. It is actually a list of fatalities that occurred during the making of the episode.
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris is a very generous man -- every day, he allows billions of people to continue to live."
https://api.chucknorris.io/jokes/search?query=all,TNT was originally developed by Chuck Norris to cure indigestion.
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris can hit you so hard that he can actually alter your DNA. Decades from now your descendants will occasionally clutch their heads and yell ""What The Hell was That?""."
https://api.chucknorris.io/jokes/search?query=all,What was going through the minds of all of Chuck Norris' victims before they died? His shoe.
https://api.chucknorris.io/jokes/search?query=all,You don't really see a light at the end of the tunnel you see Chuck Norris roundhouse kick your face.
https://api.chucknorris.io/jokes/search?query=all,"According to Einstein's theory of relativity, Chuck Norris can actually roundhouse kick you yesterday."
https://api.chucknorris.io/jokes/search?query=all,"In the movie ""The Matrix"", Chuck Norris is the Matrix. If you pay close attention in the green ""falling code"" scenes, you can make out the faint texture of his beard."
https://api.chucknorris.io/jokes/search?query=all,"""Let the Bodies Hit the Floor"" was originally written as Chuck Norris' theme song."
https://api.chucknorris.io/jokes/search?query=all,"Paper beats rock, rock beats scissors, and scissors beats paper, but Chuck Norris beats all 3 at the same time."
https://api.chucknorris.io/jokes/search?query=all,"Along with his black belt, Chuck Norris often chooses to wear brown shoes. No one has DARED call him on it. Ever."
https://api.chucknorris.io/jokes/search?query=all,Someone once videotaped Chuck Norris getting pissed off. It was called Walker: Texas Chain Saw Masacre.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is the only man to ever defeat a brick wall in a game of tennis.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is currently suing myspace for taking the name of what he calls everything around you.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris once scored 8000 in a bowling game by using his own balls.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris once got an A+ for eating his essay and calling his 7th Grade teacher a pussy.
https://api.chucknorris.io/jokes/search?query=all,Pluto is actually an orbiting group of British soldiers from the American Revolution who entered space after the Chuck gave them a roundhouse kick to the face.
https://api.chucknorris.io/jokes/search?query=all,The phrase 'balls to the wall' was originally conceived to describe Chuck Norris entering any building smaller than an aircraft hangar.
https://api.chucknorris.io/jokes/search?query=all,"One time, Chuck Norris accidentally stubbed his toe. It destroyed the entire state of Ohio."
https://api.chucknorris.io/jokes/search?query=all,The Holy Trinity is actually Chuck Norris' mammoth wang and gonads.
https://api.chucknorris.io/jokes/search?query=all,"A handicapped parking sign does not signify that this spot is for handicapped people. It is actually in fact a warning, that the spot belongs to Chuck Norris and that you will be handicapped if you park there."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris never actually gets hit by punches and kicks, he actually is performing a fighting style where he smashes the limbs of his foes with his face."
https://api.chucknorris.io/jokes/search?query=all,"At some point, you go past ""dangerous"" into ""insane"". Beyond that on the spectrum, you have ""homicidal"", ""a national threat"" and finally a category that experts have simply named, ""Chuck Norris""."
https://api.chucknorris.io/jokes/search?query=all,The last digit of pi is Chuck Norris. He is the end of all things.
https://api.chucknorris.io/jokes/search?query=all,"Scientifically speaking, it is impossible to charge Chuck Norris with ""obstruction of justice."" This is because even Chuck Norris cannot be in two places at the same time."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris once challenged Lance Armstrong in a ""Who has more testicles?"" contest. Chuck Norris won by 5."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris has never been in a fight, ever. Do you call one roundhouse kick to the face a fight?"
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris invented his own type of karate. It's called Chuck-Will-Kill.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris can ski on lava and roast marshmallows on snow.
https://api.chucknorris.io/jokes/search?query=all,"Once you go Norris, you are physically unable to go back."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris runs on batteries. Specifically, Die Hards."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris once ate four 30lb bowling balls without chewing.
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris is ten feet tall, weighs two-tons, breathes fire, and could eat a hammer and take a shotgun blast standing."
https://api.chucknorris.io/jokes/search?query=all,"Tom Clancy has to pay royalties to Chuck Norris because ""The Sum of All Fears"" is the name of Chuck Norris' autobiography."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris was the orginal sculptor of Mount Rushmore. He completed the entire project using only a bottle opener and a drywall trowel.
https://api.chucknorris.io/jokes/search?query=all,Not everyone that Chuck Norris is mad at gets killed. Some get away. They are called astronauts.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris once cut a man into two equal diametrically opposing sections by giving him a wedgie.
https://api.chucknorris.io/jokes/search?query=all,"All arrays Chuck Norris declares are of infinite size, because Chuck Norris knows no bounds."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris' house has no doors, only walls that he walks through."
https://api.chucknorris.io/jokes/search?query=all,"When Chuck Norris farts out loud, no one dares laugh. They all go home and die due to fart poisoning, Chuck Norris Fart Poisoning."
https://api.chucknorris.io/jokes/search?query=all,"The phrase 'break a leg' was originally coined by Chuck Norris's co-stars in Walker, Texas Ranger as a good luck charm, indicating that a broken leg might be the worst extent of their injuries. This never proved to be the case."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris is the ultimate mutex, all threads fear him."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris can't finish a ""color by numbers"" because his markers are filled with the blood of his victims. Unfortunately, all blood is dark red."
https://api.chucknorris.io/jokes/search?query=all,It is better to give than to receive. This is especially true of a Chuck Norris roundhouse kick.
https://api.chucknorris.io/jokes/search?query=all,Thousands of years ago Chuck Norris came across a bear. It was so terrified that it fled north into the arctic. It was also so terrified that all of its decendents now have white hair.
https://api.chucknorris.io/jokes/search?query=all,Ninjas want to grow up to be just like Chuck Norris. But usually they grow up just to be killed by Chuck Norris.
https://api.chucknorris.io/jokes/search?query=all,"Captain Planet once told Chuck Norris that he had control over all the elements - earth, water, wind and fire. Chuck Norris then drowned him in fire and blew him six feet under, thereby utilizing all four elements to move the good captain asunder. (It should be noted here that Chuck Norris, for the first time ever, deviated from using his signature roundhouse kick.)"
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris can hammer an nail into the wall with a roundhouse kick
https://api.chucknorris.io/jokes/search?query=all,"CNN was originally created as the ""Chuck Norris Network"" to update Americans with on-the-spot ass kicking in real-time."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris can kick through all 6 degrees of separation, hitting anyone, anywhere, in the face, at any time."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris built a time machine and went back in time to stop the JFK assassination. As Oswald shot, Chuck met all three bullets with his beard, deflecting them. JFK's head exploded out of sheer amazement."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris doesn't actually write books, the words assemble themselves out of fear."
https://api.chucknorris.io/jokes/search?query=all,This year's Chuck Norris Super Sunday Super Bowl party was catered by Chick-fil-A and all other party items delivered by Hobby Lobby
https://api.chucknorris.io/jokes/search?query=all,It is scientifically impossible for Chuck Norris to have had a mortal father. The most popular theory is that he went back in time and fathered himself.
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris is the only man who has, literally, beaten the odds. With his fists."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris doesn't stub his toes. He accidentally destroys chairs, bedframes, and sidewalks."
https://api.chucknorris.io/jokes/search?query=all,How much wood would a woodchuck chuck if a woodchuck could Chuck Norris? All of it.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is the father of all WMDs.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris is the only person in the world that can actually email a roundhouse kick.
https://api.chucknorris.io/jokes/search?query=all,We live in an expanding universe. All of it is trying to get away from Chuck Norris.
https://api.chucknorris.io/jokes/search?query=all,"This little piggy went to the market,this little piggy stayed home,this little piggy went we we we all the way home because Chuck Norris delivered a fatal roundhouse kick to the other piggy."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris' erections always last for over 4 hours. Only his wife needs to call a doctor for erections that last that long.
https://api.chucknorris.io/jokes/search?query=all,Faster than a speeding bullet... More powerful than a locomotive... Able to leap tall buildings in a single bound... These are some of Chuck Norris's warm-up exercises.
https://api.chucknorris.io/jokes/search?query=all,"There is no theory of evolution, just a list of creatures Chuck Norris allows to live."
https://api.chucknorris.io/jokes/search?query=all,"All roads lead to Chuck Norris. And by the transitive property, a roundhouse kick to the face."
https://api.chucknorris.io/jokes/search?query=all,"""Sweating bullets"" is literally what happens when Chuck Norris gets too hot."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris has a sign in his front yard that reads, ""Beware of Chuck Norris."" This is not a joke. He actually has one."
https://api.chucknorris.io/jokes/search?query=all,The Great Wall of China was originally created to keep Chuck Norris out. It failed miserably.
https://api.chucknorris.io/jokes/search?query=all,"MySpace actually isn't your space, it's Chuck's (he just lets you use it)."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris can install iTunes without installing Quicktime.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris Plays paintball with Al Qaeda.
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris originally appeared in the ""Street Fighter II"" video game, but was removed by Beta Testers because every button caused him to do a roundhouse kick. When asked about this glitch, Norris replied ""That's no glitch."""
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris does not need to type-cast. The Chuck-Norris Compiler (CNC) sees through things. All way down. Always.
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris doesn't need garbage collection because he doesn't call .Dispose(), he calls .DropKick()."
https://api.chucknorris.io/jokes/search?query=all,All browsers support the hex definitions #chuck and #norris for the colors black and blue.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris plays paintball with live ammunition in Afghanistan.
https://api.chucknorris.io/jokes/search?query=all,Allstate is in good hands with Chuck Norris
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris gargles ball bearings.
https://api.chucknorris.io/jokes/search?query=all,CHUCK NORRIS WILL KILL YOU ALL!
https://api.chucknorris.io/jokes/search?query=all,"Wilt Chamberlain claims to have slept with more than 20,000 women in his lifetime. Chuck Norris calls this ""a slow Tuesday."""
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris decided he needed to have a pet. He looked at dogs and cats then ended up getting a pet alligator named Fluffy.
https://api.chucknorris.io/jokes/search?query=all,All good things must come to an end...... When Chuck Norris says stop.
https://api.chucknorris.io/jokes/search?query=all,They say that the size and value of a man's car is inversely proportional to the size of his manhood. That must be why Chuck Norris usually gets around on a pair of rollerskates. And a wheelbarrow.
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris once had a heckler call him ""Chuckie"". Chuck kicked him so hard he was arrested for speeding 2 blocks away."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris can sing with his feet and walk on his eyeballs.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris was an only child...eventually.
https://api.chucknorris.io/jokes/search?query=all,"""Brokeback Mountain"" is not just a movie. It's also what Chuck Norris calls the pile of dead ninjas in his front yard."
https://api.chucknorris.io/jokes/search?query=all,"As a teen, Chuck Norris had sex with every nun in a convent tucked away in the hills of Tuscany. Nine months later the nuns gave birth to the 1972 Miami Dolphins, the only undefeated and untied team in professional football history."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris can power-shit a large ball bearing through your skull from half a mile away.
https://api.chucknorris.io/jokes/search?query=all,"Whenever Chuck Norris sees a world touched by war, thousands of soldiers dying and mortars exploding, guns guns and more guns are firing....He really just wants to nuke the crap outta it."
https://api.chucknorris.io/jokes/search?query=all,Bill Gates thinks he's Chuck Norris. Chuck Norris actually laughed. Once.
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris injects hot coffee directly into his eyeballs.
https://api.chucknorris.io/jokes/search?query=all,"In honor of Chuck Norris, all McDonald's in Texas have an even larger size than the super-size. When ordering, just ask to be Chucksized."
https://api.chucknorris.io/jokes/search?query=all,"The Bible was originally titled ""Chuck Norris and Friends"""
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris once sued Burger King after they refused to put razor wire in his Whopper Jr, insisting that that actually is ""his"" way."
https://api.chucknorris.io/jokes/search?query=all,"When in a bar, you can order a drink called a ""Chuck Norris"". It is also known as a ""Bloody Mary"", if your name happens to be Mary."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris has the greatest Poker-Face of all time. He won the 1983 World Series of Poker, despite holding only a Joker, a Get out of Jail Free Monopoloy card, a 2 of clubs, 7 of spades and a green #4 card from the game UNO."
https://api.chucknorris.io/jokes/search?query=all,Chuck Norris can drink an entire gallon of milk in thirty-seven seconds.
https://api.chucknorris.io/jokes/search?query=all,"Teenage Mutant Ninja Turtles is based on a true story: Chuck Norris once swallowed a turtle whole, and when he crapped it out, the turtle was six feet tall and had learned karate."
https://api.chucknorris.io/jokes/search?query=all,"The opening scene of the movie ""Saving Private Ryan"" is loosely based on games of dodgeball Chuck Norris played in second grade."
https://api.chucknorris.io/jokes/search?query=all,"Chuck Norris used to play baseball. When Babe Ruth was hailed as the better player, Chuck Norris killed him with a baseball bat to the throat. Lou Gehrig got off easy."
https://api.chucknorris.io/jokes/search?query=all,Most tough men eat nails for breakfast. Chuck Norris does all of his grocery shopping at Home Depot.
